name=Présence de l'utilisateur, model=bus.presence, id=146, state=base
name=Prévenir en cas de quantité insuffisante, model=stock.warn.insufficient.qty, id=504, state=base
name=Publipostage automatisé pour un événement, model=event.mail, id=583, state=base
name=Quants, model=stock.quant, id=475, state=base
name=Question du sondage, model=survey.question, id=665, state=base
name=Qweb, model=ir.qweb, id=41, state=base
name=Qweb Field Float, model=ir.qweb.field.float, id=44, state=base
name=Qweb Field Float Time, model=ir.qweb.field.float_time, id=55, state=base
name=Rapport d'Etiquettes Article, model=report.stock.label_product_product_view, id=489, state=base
name=Rapport d'Etiquettes produit, model=report.product.report_producttemplatelabel, id=365, state=base
name=Rapport d'Etiquettes produit, model=report.product.report_producttemplatelabel_dymo, id=366, state=base
name=Rapport d'achat, model=purchase.report, id=555, state=base
name=Rapport d'analyse des ventes, model=sale.report, id=569, state=base
name=Rapport de Réapprovisionnements de Stock, model=report.stock.report_product_template_replenishment, id=484, state=base
name=Rapport de Réapprovisionnements de Stock, model=report.stock.report_product_product_replenishment, id=483, state=base
name=Rapport de comptabilité, model=account.common.report, id=446, state=base
name=Rapport de compte avec ligne de paiements, model=report.account.report_invoice_with_payments, id=460, state=base
name=Rapport de facturation du PdV, model=report.point_of_sale.report_invoice, id=536, state=base
name=Rapport de journal de compte, model=report.account.report_journal, id=461, state=base
name=Rapport de liste de prix, model=report.product.report_pricelist, id=367, state=base
name=Rapport de quantité en stock, model=report.stock.quantity, id=485, state=base
name=Rapport de règle de stock, model=report.stock.report_stock_rule, id=487, state=base
name=Rapport de taxes du compte, model=account.tax.report, id=408, state=base
name=Rapport de traçabilité, model=stock.traceability.report, id=488, state=base
name=Rapport des Retards Fournisseurs, model=vendor.delay.report, id=557, state=base
name=Rapport du journal courant, model=account.common.journal.report, id=447, state=base
name=Rapport détaillé du PdV, model=pos.details.wizard, id=538, state=base
name=Rapport pro forma, model=report.sale.report_saleproforma, id=570, state=base
name=Rapport sur les commandes au point de vente, model=report.pos.order, id=537, state=base
name=Rapport sur les coupons de vente, model=report.coupon.report_coupon, id=677, state=base
name=Rapprochement, model=account.partial.reconcile, id=418, state=base
name=Reconcile Model Line Template, model=account.reconcile.model.line.template, id=437, state=base
name=Rejeter la notification de renvoi par modèle, model=snailmail.letter.cancel, id=388, state=base
name=Rejeter la notification de renvoi par modèle, model=mail.resend.cancel, id=203, state=base
name=Rejeter la notification de renvoi par modèle, model=sms.cancel, id=381, state=base
name=Relatif au champ Qweb, model=ir.qweb.field.relative, id=57, state=base
name=Remake the sequence of Journal Entries., model=account.resequence.wizard, id=449, state=base
name=Remove email from blacklist wizard, model=mail.blacklist.remove, id=201, state=base
name=Renversement de la pièce comptable, model=account.move.reversal, id=445, state=base
name=Renvoi de SMS, model=sms.resend, id=384, state=base
name=Renvoyer la Notification, model=sms.resend.recipient, id=383, state=base
name=Reporter le Point de Commande, model=stock.orderpoint.snooze, id=510, state=base
name=Ressources, model=resource.resource, id=150, state=base
name=Retour à la cueillette, model=stock.return.picking, id=492, state=base
name=Routage HTTP, model=ir.http, id=61, state=base
name=Routes logistiques, model=stock.location.route, id=466, state=base
name=Règle, model=ir.rule, id=36, state=base
name=Règle coupon, model=coupon.rule, id=675, state=base
name=Règle de code-barres, model=barcode.rule, id=144, state=base
name=Règle de stock minimum, model=stock.rule, id=469, state=base
name=Règle de stock minimum., model=stock.warehouse.orderpoint, id=471, state=base
name=Règle des listes des prix, model=product.pricelist.item, id=364, state=base
name=Règles pour les modèles de réconciliation, model=account.reconcile.model.line, id=411, state=base
name=Réapprovisionnement d'Article, model=product.replenish, id=506, state=base
name=Référence/raison de l'ajustement, model=stock.inventory.adjustment.name, id=496, state=base
name=Réponse en conserve / Code court, model=mail.shortcode, id=180, state=base
name=Résultats du profilage, model=ir.profile, id=73, state=base
name=Réécriture du site Web, model=website.rewrite, id=603, state=base
name=SI-UBL 2.0 (NLCIUS), model=account.edi.xml.ubl_nl, id=547, state=base
name=SMS Sortant, model=sms.sms, id=379, state=base
name=Saisie utilisateur du sondage, model=survey.user_input, id=667, state=base
name=Secteur, model=res.partner.industry, id=85, state=base
name=Serveur ICE, model=mail.ice.server, id=179, state=base
name=Serveur d'email, model=ir.mail_server, id=39, state=base
name=Serveur de courriels entrant, model=fetchmail.server, id=347, state=base
name=Service Google, model=google.service, id=681, state=base
name=Signaler l'action, model=ir.actions.report, id=27, state=base
name=Site Web, model=website, id=599, state=base
name=Site Web publié Mixin, model=website.published.mixin, id=596, state=base
name=Sociétés, model=res.company, id=93, state=base
name=Solde initial de l'année fiscale, model=account.financial.year.op, id=450, state=base
name=Sortie de caisse, model=cash.box.out, id=444, state=base
name=Source UTM, model=utm.source, id=561, state=base
name=Sous-test du convertisseur de l'éditeur Web, model=web_editor.converter.test.sub, id=138, state=base
name=Sous-types de messages, model=mail.message.subtype, id=170, state=base
name=Spécifiez le lot de produit / numéro de série dans la ligne de commande PdV, model=pos.pack.operation.lot, id=530, state=base
name=Statistiques des factures, model=account.invoice.report, id=458, state=base
name=Statégie de rangement, model=stock.putaway.rule, id=464, state=base
name=Stock Demander un Comptage, model=stock.request.count, id=511, state=base
name=Stock Rapport de Réception, model=report.stock.report_reception, id=486, state=base
name=Stock information fournisseur pour réapprovisionnement, model=stock.replenishment.info, id=512, state=base
name=Stock package type, model=stock.package.type, id=480, state=base
name=Stratégie d'enlèvement, model=product.removal, id=463, state=base
name=Supprimer le numéro de téléphone de la liste noire, model=phone.blacklist.remove, id=351, state=base
name=Synchronisation de l'Autocomplétion de Partenaires, model=res.partner.autocomplete.sync, id=370, state=base
name=Sélection des Champs, model=ir.model.fields.selection, id=5, state=base
name=Séquence, model=ir.sequence, id=11, state=base
name=Séquence automatique, model=sequence.mixin, id=393, state=base
name=Séquence de dates, model=ir.sequence.date_range, id=12, state=base
name=Tag UTM, model=utm.tag, id=562, state=base
name=Taux de la devise, model=res.currency.rate, id=92, state=base
name=Tax carryover line, model=account.tax.carryover.line, id=407, state=base
name=Taxe, model=account.tax, id=405, state=base
name=Temps de travail de la ressource, model=resource.calendar, id=148, state=base
name=Test du convertisseur de l'éditeur Web, model=web_editor.converter.test, id=137, state=base
name=Tester le modèle de ressource, model=resource.test, id=152, state=base
name=Tests: Aperçu du modèle d'importation de base, model=base_import.tests.models.preview, id=132, state=base
name=Tests: Complexe du Modèle d'Importation de Base, model=base_import.tests.models.complex, id=134, state=base
name=Tests: Modèle d'importation de base, Caractère lecture seule, model=base_import.tests.models.char.readonly, id=122, state=base
name=Tests: Modèle d'importation de base, Caractère requis, model=base_import.tests.models.char.required, id=121, state=base
name=Tests: Modèle d'importation de base, Caractère toujours en lecture seule, model=base_import.tests.models.char.stillreadonly, id=125, state=base
